Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Fill Flag,Ozone,Solar Zenith Angle,Precipitable Water,Temperature,Dew Point,DHI,DNI,GHI,Relative Humidity,Surface Albedo,Pressure,Wind Direction,Wind Speed
2018,1,1,0,0,0,0,0,7,0,0.25,152.74,5.9,25.900000000000002,25.5,0,0,0,97.47,0.14,1009,339,2.8000000000000003
2018,1,1,1,0,0,0,0,6,0,0.251,158.19,5.9,25.8,25.3,0,0,0,97.36,0.14,1008,341,3
2018,1,1,2,0,0,0,0,7,0,0.251,154.87,5.9,25.700000000000003,25.200000000000003,0,0,0,97.03,0.14,1008,345,3.2
2018,1,1,3,0,0,0,0,7,0,0.25,145.21,5.9,25.6,25.1,0,0,0,96.91,0.14,1007,347,3.3000000000000003
2018,1,1,4,0,0,0,0,6,0,0.25,132.99,5.800000000000001,25.5,24.900000000000002,0,0,0,96.74000000000001,0.14,1007,348,3
2018,1,1,5,0,0,0,0,7,0,0.25,119.78,5.7,25.3,24.8,0,0,0,96.93,0.14,1007,345,2.6
2018,1,1,6,0,0,0,0,7,0,0.25,106.15,5.6000000000000005,25.200000000000003,24.6,0,0,0,96.51,0.14,1008,337,2.4000000000000004
2018,1,1,7,0,0,0,0,7,0,0.251,92.37,5.6000000000000005,25.400000000000002,24.6,0,0,0,95.3,0.14,1009,327,2.4000000000000004
2018,1,1,8,0,66,370,139,9,3,0.23500000000000001,78.56,6.300000000000001,25.400000000000002,24.8,7,0,7,96.38,0.14,1005,359,2.2
2018,1,1,9,0,110,609,368,9,0,0.23500000000000001,65,6.4,25.8,25,17,0,17,95.09,0.14,1006,1,1.8
2018,1,1,10,0,137,730,588,9,0,0.23500000000000001,51.83,6.5,26,25,33,0,33,94.17,0.14,1006,355,1.3
2018,1,1,11,0,155,792,766,6,0,0.234,39.57,6.5,26.3,25,133,0,133,92.63,0.14,1006,340,1
2018,1,1,12,0,171,818,883,6,0,0.233,29.47,6.5,26.5,25,214,9,222,91.76,0.14,1005,332,1
2018,1,1,13,0,181,822,929,6,0,0.231,24.42,6.5,26.700000000000003,25.1,295,16,309,91,0.14,1004,332,0.9
2018,1,1,14,0,191,796,897,6,0,0.231,27.400000000000002,6.5,26.700000000000003,25.200000000000003,281,15,294,91.31,0.14,1003,339,0.9
2018,1,1,15,0,183,764,797,6,0,0.23,36.480000000000004,6.5,26.700000000000003,25.200000000000003,252,12,261,91.61,0.14,1002,350,0.8
2018,1,1,16,0,164,707,634,6,0,0.23,48.31,6.6000000000000005,26.6,25.3,173,2,175,92.64,0.14,1002,354,0.7000000000000001
2018,1,1,17,0,147,567,419,6,0,0.23,61.300000000000004,6.6000000000000005,26.3,25.400000000000002,67,0,67,94.8,0.14,1002,354,0.7000000000000001
2018,1,1,18,0,97,359,192,6,3,0.231,74.79,6.7,26.1,25.400000000000002,47,0,47,96.11,0.14,1003,4,0.6000000000000001
2018,1,1,19,0,11,9,11,6,3,0.232,88.29,6.7,25.8,25.400000000000002,5,0,5,97.45,0.14,1004,10,0.7000000000000001
2018,1,1,20,0,0,0,0,7,0,0.233,102.39,6.800000000000001,25.700000000000003,25.3,0,0,0,97.64,0.14,1004,15,1
2018,1,1,21,0,0,0,0,7,0,0.23500000000000001,116.09,6.800000000000001,25.700000000000003,25.3,0,0,0,97.44,0.14,1005,19,1.3
2018,1,1,22,0,0,0,0,7,0,0.23600000000000002,129.46,6.800000000000001,25.6,25.200000000000003,0,0,0,97.73,0.14,1005,23,1.6
2018,1,1,23,0,0,0,0,7,0,0.23700000000000002,142.07,6.800000000000001,25.5,25.200000000000003,0,0,0,97.98,0.14,1005,25,1.9000000000000001
2018,1,2,0,0,0,0,0,7,0,0.23700000000000002,152.73,6.7,25.3,25.1,0,0,0,98.78,0.14,1005,25,2.2
2018,1,2,1,0,0,0,0,6,0,0.23700000000000002,158.28,6.7,25.200000000000003,25,0,0,0,98.9,0.14,1004,21,2.4000000000000004
2018,1,2,2,0,0,0,0,6,0,0.23600000000000002,155.03,6.6000000000000005,25.1,24.900000000000002,0,0,0,98.95,0.14,1003,17,2.6
2018,1,2,3,0,0,0,0,6,0,0.23500000000000001,145.38,6.5,25.1,24.8,0,0,0,98.51,0.14,1003,13,2.8000000000000003
2018,1,2,4,0,0,0,0,6,0,0.23500000000000001,133.15,6.4,25,24.8,0,0,0,98.54,0.14,1003,10,3
2018,1,2,5,0,0,0,0,6,0,0.23700000000000002,119.93,6.300000000000001,24.900000000000002,24.6,0,0,0,98.46000000000001,0.14,1003,11,3
2018,1,2,6,0,0,0,0,6,0,0.23800000000000002,106.3,6.2,24.900000000000002,24.6,0,0,0,98,0.14,1003,14,2.9000000000000004
2018,1,2,7,0,0,0,0,6,0,0.23800000000000002,92.51,6.2,25,24.6,0,0,0,97.8,0.14,1004,17,2.8000000000000003
2018,1,2,8,0,56,445,143,6,3,0.23800000000000002,78.65,6.2,25.400000000000002,24.900000000000002,23,0,23,97.21000000000001,0.14,1005,21,2.9000000000000004
2018,1,2,9,0,82,709,380,6,0,0.23800000000000002,65.08,6.2,26,25.200000000000003,63,0,63,95.28,0.14,1006,25,2.8000000000000003
2018,1,2,10,0,94,829,606,6,0,0.23700000000000002,51.9,6.2,26.400000000000002,25.3,201,8,205,93.51,0.14,1006,29,2.9000000000000004
